Link,Bedrooms,Bathrooms,Area,Price,Address,City,Location 1,Location 2,Unit,Type,Rent_sale
https://www.bayut.com/property/8999129,1,1,5.67,8399.0,"Act One, Act One | Act Two Towers, Opera District, Downtown Dubai, Dubai, UAE",Dubai,Downtown Dubai,Opera District,Residential,for,Rent
https://www.bayut.com/property/9051710,1,2,6.66,6499.0,"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
https://www.bayut.com/property/9088263,0,1,3.68,4499.0,"Azizi Riviera 36, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Dubai,Meydan City,Meydan One,Residential,for,Rent
https://www.bayut.com/property/8991291,1,1,6.08,7000.0,"Bay Central (Central Tower), Bay Central, Dubai Marina, Dubai, UAE",Dubai,Dubai Marina,Bay Central,Residential,for,Rent
https://www.bayut.com/property/6710101,2,2,13.09,9500.0,"Bahar 2, Bahar, Jumeirah Beach Residence (JBR), Dubai, UAE",Dubai,Jumeirah Beach Residence (JBR),Bahar,Residential,for,Rent
https://www.bayut.com/property/9235859,1,1,11.19,15000.0,"Ruby, Tiara Residences, Palm Jumeirah, Dubai, UAE",Dubai,Palm Jumeirah,Tiara Residences,Residential,for,Rent
https://www.bayut.com/property/6862016,1,1,9.56,9999.0,"Sarai Apartments, Palm Jumeirah, Dubai, UAE",Dubai,Palm Jumeirah,Sarai Apartments,Residential,for,Rent
https://www.bayut.com/property/7475377,0,1,3.52,7000.0,"Bayz by Danube, Business Bay, Dubai, UAE",Dubai,Business Bay,Bayz by Danube,Residential,for,Rent
https://www.bayut.com/property/9005110,2,2,8.94,13000.0,"Burj Royale, Downtown Dubai, Dubai, UAE",Dubai,Downtown Dubai,Burj Royale,Residential,for,Rent
https://www.bayut.com/property/8051584,2,2,11.41,11600.0,"Al Murad Tower, Al Barsha 1, Al Barsha, Dubai, UAE",Dubai,Al Barsha,Al Barsha 1,Residential,for,Rent
https://www.bayut.com/property/8022487,1,1,5.66,7800.0,"Noor 1, Noor District, Midtown, Dubai Production City (IMPZ), Dubai, UAE",Dubai,Dubai Production City (IMPZ),Midtown,Residential,for,Rent
https://www.bayut.com/property/8511669,1,2,12.4,10999.0,"Tower A, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai, UAE",Dubai,Business Bay,DAMAC Towers by Paramount Hotels and Resorts,Residential,for,Rent
https://www.bayut.com/property/5845896,1,1,6.86,6000.0,"Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
https://www.bayut.com/property/8852909,2,3,13.08,14500.0,"Stella Maris, Dubai Marina, Dubai, UAE",Dubai,Dubai Marina,Stella Maris,Residential,for,Rent
https://www.bayut.com/property/8573323,3,3,21.7,29100.0,"Stella Maris, Dubai Marina, Dubai, UAE",Dubai,Dubai Marina,Stella Maris,Residential,for,Rent
https://www.bayut.com/property/8702347,2,2,8.68,8000.0,"Al Ramth 47, Al Ramth, Remraam, Dubai, UAE",Dubai,Remraam,Al Ramth,Residential,for,Rent
https://www.bayut.com/property/8431534,2,2,9.68,8999.0,"Hartland Waves, Sobha Hartland, Dubai, UAE",Dubai,Sobha Hartland,Hartland Waves,Residential,for,Rent
https://www.bayut.com/property/4654253,0,1,3.1,5500.0,"The Cosmopolitan, Business Bay, Dubai, UAE",Dubai,Business Bay,The Cosmopolitan,Residential,for,Rent
https://www.bayut.com/property/8896935,0,1,4.07,6000.0,"Damac Maison Prive Tower B, DAMAC Maison Prive, Business Bay, Dubai, UAE",Dubai,Business Bay,DAMAC Maison Prive,Residential,for,Rent
https://www.bayut.com/property/8997466,1,2,9.29,4799.0,"Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
https://www.bayut.com/property/9191382,1,2,10.34,8500.0,"Bahar 1, Bahar, Jumeirah Beach Residence (JBR), Dubai, UAE",Dubai,Jumeirah Beach Residence (JBR),Bahar,Residential,for,Rent
https://www.bayut.com/property/7762189,0,1,3.4,3499.0,"Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
https://www.bayut.com/property/8336294,0,1,3.66,3499.0,"Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
https://www.bayut.com/property/8763421,2,2,12.04,14900.0,"Murjan 5, Murjan, Jumeirah Beach Residence (JBR), Dubai, UAE",Dubai,Jumeirah Beach Residence (JBR),Murjan,Residential,for,Rent
https://www.bayut.com/property/8784026,1,2,5.76,4799.0,"Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Dubai,Jumeirah Village Circle (JVC),JVC District 10,Residential,for,Rent
